4K频道,#genre#
CCTV兵器科技,https://live.metshop.top/msp.php?id=bqkj
CCTV兵器科技,https://live.goodiptv.club/api/yqgd.php?id=bqkj
CCTV怀旧剧场,https://live.goodiptv.club/api/yqgd.php?id=hjjc
CCTV第一剧场,https://live.metshop.top/msp.php?id=dyjc
CCTV第一剧场,https://live.goodiptv.club/api/yqgd.php?id=dyjc
CCTV风云剧场,https://live.metshop.top/msp.php?id=fyjc
CCTV风云剧场,https://live.goodiptv.club/api/yqgd.php?id=fyjc
CCTV风云音乐,https://live.metshop.top/msp.php?id=fyyy
CCTV风云音乐,https://live.goodiptv.club/api/yqgd.php?id=fyyy
CCTV风云足球,https://live.metshop.top/msp.php?id=fyzq
CCTV风云足球,https://live.goodiptv.club/api/yqgd.php?id=fyzq
CCTV电视指南,https://live.metshop.top/msp.php?id=dszn
CCTV女性时尚,https://live.metshop.top/msp.php?id=nxss
CCTV央视文化精品,https://live.metshop.top/msp.php?id=whjp
CCTV央视文化精品,https://live.goodiptv.club/api/yqgd.php?id=whjp
CCTV世界地理,https://live.metshop.top/msp.php?id=sjdl
CCTV世界地理,https://live.goodiptv.club/api/yqgd.php?id=sjdl
CCTV高尔夫网球,https://live.metshop.top/msp.php?id=gefwq
CCTV央视台球,https://live.metshop.top/msp.php?id=ystq
CCTV卫生健康,https://live.metshop.top/msp.php?id=wsjk
CCTV卫生健康,https://live.goodiptv.club/api/yqgd.php?id=wsjk
香港,#genre#
凤凰中文,https://live.goodiptv.club/api/sxg.php?id=test1_4000
凤凰资讯,https://live.goodiptv.club/api/sxg.php?id=test2_4000
卫视,#genre#
安徽卫视,https://live.goodiptv.club/api/bestv.php?id=ahwshd8m/8000000
安徽卫视,https://live.goodiptv.club/api/sxg.php?id=ahwsH265_4000
安徽卫视,https://live.metshop.top/msp.php?id=ahws
安徽卫视,https://live.goodiptv.club/api/yqgd.php?id=ahwshd
北京卫视,https://live.goodiptv.club/api/bestv.php?id=bjwshd8m/8000000
北京卫视,https://live.goodiptv.club/api/sxg.php?id=bjwsH265_4000
北京卫视,https://live.metshop.top/msp.php?id=bjws
北京卫视,https://live.goodiptv.club/api/yqgd.php?id=bjwshd
重庆卫视,https://live.goodiptv.club/api/bestv.php?id=cqws8m/8000000
重庆卫视,https://live.goodiptv.club/api/sxg.php?id=cqwsH265_4000
重庆卫视,https://live.metshop.top/msp.php?id=cqws
重庆卫视,https://live.goodiptv.club/api/yqgd.php?id=cqwshd
东方卫视,https://live.goodiptv.club/api/bestv.php?id=dfwshd8m/8000000
东方卫视,https://live.goodiptv.club/api/sxg.php?id=dfwsH265_4000
东方卫视,https://live.metshop.top/msp.php?id=dfws
东方卫视,https://live.goodiptv.club/api/yqgd.php?id=dfwshd
东南卫视,https://live.goodiptv.club/api/bestv.php?id=dnwshd8m/8000000
东南卫视,https://live.goodiptv.club/api/sxg.php?id=dnwsfjwsH265_4000
东南卫视,https://live.metshop.top/msp.php?id=dnws
东南卫视,https://live.goodiptv.club/api/yqgd.php?id=dnws
甘肃卫视,https://live.goodiptv.club/api/bestv.php?id=gswshd8m/8000000
甘肃卫视,https://live.goodiptv.club/api/sxg.php?id=gsws_4000
甘肃卫视,https://live.goodiptv.club/api/yqgd.php?id=gsws
广东卫视,https://live.goodiptv.club/api/bestv.php?id=gdwshd8m/8000000
广东卫视,https://live.goodiptv.club/api/sxg.php?id=gdwsH265_4000
广东卫视,https://live.metshop.top/msp.php?id=gdws
广东卫视,https://live.goodiptv.club/api/yqgd.php?id=gdws
广西卫视,https://live.goodiptv.club/api/bestv.php?id=gxwshd8m/8000000
广西卫视,https://live.goodiptv.club/api/sxg.php?id=gxws_4000
广西卫视,https://live.metshop.top/msp.php?id=gxws
广西卫视,https://live.goodiptv.club/api/yqgd.php?id=gxws
贵州卫视,https://live.goodiptv.club/api/bestv.php?id=gzwshd8m/8000000
贵州卫视,https://live.goodiptv.club/api/sxg.php?id=gzwsH265_4000
贵州卫视,https://live.metshop.top/msp.php?id=gzws
贵州卫视,https://live.goodiptv.club/api/yqgd.php?id=gzws
